Block,Question,AVG_Small All,SD_Small All,AVG_Medium All,SD_Medium All,AVG_Large All,SD_Large All,Pvalue_Small - Medium All,Pvalue_Medium - Large All,Pvalue_Small - Large All,AVG_Small Correct,SD_Small Correct,AVG_Medium Correct,SD_Medium Correct,AVG_ Large Correct,SD_ Large Correct,Pvalue_Small - Medium Correct,Pvalue_Medium - Large Correct,Pvalue_Small - Large Correct
chain,1,0.8214285714285714,0.6519503404921405,0.842857142857143,0.4453286943639797,3.0160919540229885,2.423844633234005,0.8229521951538266,0.0010566812714570286,0.00046382322920613403,0.35989010989010983,0.3769680608362374,0.5831473214285714,0.3775665958906892,2.6379084967320265,2.3845149195586255,0.06550121425693116,0.015801522532571503,0.00040550793011986263
chain,2,1.0631613756613756,0.9451899613447661,2.4651851851851854,1.9925782543982222,33.81609195402331,36.517508978016586,0.00035426325195089147,0.0007420926280674938,4.0463252196752373e-07,0.5178571428571429,0.20092828485799774,3.211764705882353,2.281489085520531,57.95238095238151,36.071594796459664,2.1539028716200345e-05,6.0946696069939395e-05,4.59283371175395e-06
chain,3,0.8683127572016461,0.3219976553698224,1.0961382113821139,0.48505237766289283,1.7319749216300946,1.5631551673684518,0.1371902069673061,0.34719623599933913,0.04457223576700575,0.63510101010101,0.4060732478307527,0.6402439024390244,0.4255206420089732,1.0246212121212126,1.0962103601814284,0.6153025556905107,0.7787290045873427,0.758288758433211
chain,4,0.6996714456391877,0.4435559586123023,1.181232492997199,0.785869408982663,2.0227081581160635,1.748494612073731,0.03558416815461443,0.08390515239933151,0.0008987147927607172,0.4511088709677419,0.4145503181373482,0.5781512605042017,0.264102731985857,0.9201773835920174,0.9115617279970388,0.3990751965482372,0.5262368666518372,0.11431677554040419
chain,5,6.333333333333333,13.091394707387574,6.2266666666666675,10.599770112449685,14.517241379310345,20.790830206840106,0.8167394987152159,0.22805822494226835,0.17612683093632875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CC,1,0.911899133175729,0.3011579340607527,1.1899795501022499,0.7370745824899897,2.6863181312569524,3.012891588503712,0.30637638833454617,0.07607151678627257,0.018622013250916617,0.6808510638297872,0.26759649679723424,1.2555034283652113,0.9747869276191455,3.7153700189753325,3.6004833199324895,0.2879008453058348,0.028730533387522034,0.023925843480626627
CC,2,0.8066428814135236,0.36467011903098717,0.833123188405797,0.31612131410816036,1.923774954627949,2.382667520373492,0.8856276130821868,0.3710246465609405,0.3132462129533462,0.5086450247000707,0.2864006934845174,0.6414322250639386,0.2798786094506363,2.3476454293628812,2.8701719393043748,0.1266146309199726,0.4375454955608389,0.09510359759242354
CC,3,0.7990261177512173,0.4082948941643656,0.9266666666666665,0.6015212750343177,2.1497162810999564,2.083263668634693,0.7613868658646481,0.007618961876914624,0.00544691160365842,0.4980079681274901,0.2967772667078061,0.5351027397260274,0.3105211685097469,2.449367088607595,2.414782772958855,0.8030333653420818,0.0022413940393330584,0.0032886143038479304
CC,4,1.5555555555555556,2.0789697892502876,1.0879781420765025,1.1535615571997144,6.17241379310345,6.2262699366820815,0.8856276130821868,9.449171229269264e-08,1.1530701751737325e-05,0.29166666666666663,0.2897665378622012,0.6659836065573769,0.5534051666811226,4.818181818181819,2.18803227627718,0.09467071984550875,3.095796877161515e-06,1.1254527653842072e-05
CC,5,0.6697530864197532,0.3611076868126049,0.7843924191750277,0.4347601932897453,1.3954237834353849,0.9095140177047608,0.1794348233311166,0.022948307822874665,0.0024173446905549336,0.4669117647058824,0.3044143918021527,0.38079311992355475,0.22128027715471382,0.9746328437917222,0.8739071506178288,0.32102426893048774,0.02159687351296367,0.10363888953138498
